States/UTs,Crime Head,2004
Himachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2
Jammu & Kashmir,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Jharkhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Karnataka,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Kerala,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,45
Madhya Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Maharashtra,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,11
Manipur,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Meghalaya,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Mizoram,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Nagaland,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Odisha,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Punjab,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2
Rajasthan,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,89
Sikkim,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Tamil Nadu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,102
Tripura,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Uttar Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Uttarakhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
West Bengal,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,25
A&N Islands,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Chandigarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
D&N Haveli,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Daman & Diu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Delhi UT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Lakshadweep,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
Puducherry,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
All India,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1378
Andhra Pradesh,TOTAL CRIMES AGAINST WOMEN,18921
Arunachal Pradesh,TOTAL CRIMES AGAINST WOMEN,148
Assam,TOTAL CRIMES AGAINST WOMEN,5700
Bihar,TOTAL CRIMES AGAINST WOMEN,8091
Chhattisgarh,TOTAL CRIMES AGAINST WOMEN,3763
Goa,TOTAL CRIMES AGAINST WOMEN,132
Gujarat,TOTAL CRIMES AGAINST WOMEN,6211
Haryana,TOTAL CRIMES AGAINST WOMEN,4276
Himachal Pradesh,TOTAL CRIMES AGAINST WOMEN,823
Jammu & Kashmir,TOTAL CRIMES AGAINST WOMEN,2208
Jharkhand,TOTAL CRIMES AGAINST WOMEN,2490
Karnataka,TOTAL CRIMES AGAINST WOMEN,5423
Kerala,TOTAL CRIMES AGAINST WOMEN,6483
