State,Crime_Head,Year,Count
Lakshadweep,Importation of Girls from Foreign Country,2013,0
Puducherry,Importation of Girls from Foreign Country,2013,0
Total (UTs),Importation of Girls from Foreign Country,2013,0
Total (All-India),Importation of Girls from Foreign Country,2013,31
Andhra Pradesh,Indecent Representation of Women (P) Act,2013,251
Arunachal Pradesh,Indecent Representation of Women (P) Act,2013,0
Assam,Indecent Representation of Women (P) Act,2013,1
Bihar,Indecent Representation of Women (P) Act,2013,0
Chhattisgarh,Indecent Representation of Women (P) Act,2013,0
Goa,Indecent Representation of Women (P) Act,2013,0
Gujarat,Indecent Representation of Women (P) Act,2013,0
Haryana,Indecent Representation of Women (P) Act,2013,0
Himachal Pradesh,Indecent Representation of Women (P) Act,2013,0
Jammu & Kashmir,Indecent Representation of Women (P) Act,2013,0
Jharkhand,Indecent Representation of Women (P) Act,2013,2
Karnataka,Indecent Representation of Women (P) Act,2013,2
Kerala,Indecent Representation of Women (P) Act,2013,20
Madhya Pradesh,Indecent Representation of Women (P) Act,2013,0
Maharashtra,Indecent Representation of Women (P) Act,2013,0
Manipur,Indecent Representation of Women (P) Act,2013,0
Meghalaya,Indecent Representation of Women (P) Act,2013,0
Mizoram,Indecent Representation of Women (P) Act,2013,0
Nagaland,Indecent Representation of Women (P) Act,2013,0
Odisha,Indecent Representation of Women (P) Act,2013,2
Punjab,Indecent Representation of Women (P) Act,2013,0
Rajasthan,Indecent Representation of Women (P) Act,2013,68
Sikkim,Indecent Representation of Women (P) Act,2013,0
Tamil Nadu,Indecent Representation of Women (P) Act,2013,9
Tripura,Indecent Representation of Women (P) Act,2013,0
Uttar Pradesh,Indecent Representation of Women (P) Act,2013,1
Uttarakhand,Indecent Representation of Women (P) Act,2013,0
West Bengal,Indecent Representation of Women (P) Act,2013,4
Total (State),Indecent Representation of Women (P) Act,2013,360
A&N Islands,Indecent Representation of Women (P) Act,2013,0
Chandigarh,Indecent Representation of Women (P) Act,2013,1
D&N Haveli,Indecent Representation of Women (P) Act,2013,0
Daman & Diu,Indecent Representation of Women (P) Act,2013,0
Delhi UT,Indecent Representation of Women (P) Act,2013,0
