State,Year,AoM,AoW,DD,DV,KandA,Rape,WT,Total,share_AoM,share_AoW,share_DD,share_DV,share_KandA,share_Rape,share_WT,prev_total,yoy_growth
Assam,2012,5,1840,140,6407,3360,1716,30,13498,0.00037042524818491627,0.1363164913320492,0.010371906949177657,0.4746629130241517,0.24892576678026374,0.12712994517706327,0.002222551489109498,10288.0,0.3120139968895801
Assam,2013,14,2409,170,8636,4222,1937,18,17406,0.0008043203493048374,0.1384005515339538,0.009766747098701596,0.4961507526140411,0.24256003676893026,0.11128346547167643,0.001034126163391934,13498.0,0.2895243739813306
Assam,2014,458,3099,92,9626,3895,1980,29,19179,0.02388028572918296,0.1615829813858908,0.004796913290578237,0.501903123207675,0.20308670942176338,0.1032379164711403,0.0015120704937692268,17406.0,0.10186142709410548
Assam,2015,499,4293,216,11225,5039,1733,47,23052,0.021646711782057956,0.18623112961998958,0.009370119729307652,0.48694256463647406,0.21859274683324656,0.07517785875412111,0.002038868644803054,19179.0,0.20193962146097294
Assam,2016,677,3378,157,9321,5339,1779,65,20716,0.03268005406449122,0.1630623672523653,0.007578683143463989,0.44994207375941303,0.25772349874493145,0.08587565167020661,0.003137671365128403,23052.0,-0.10133610966510498
Assam,2017,108,3569,171,9782,5554,1772,40,20996,0.005143836921318346,0.1699847590017146,0.00814440845875405,0.46589826633644504,0.26452657649076017,0.08439702800533434,0.0019051247856734616,20716.0,0.013516122803630045
Assam,2018,171,4180,173,11136,6401,1648,37,23746,0.007201212835846038,0.1760296470984587,0.0072854375473764,0.4689631938010612,0.2695611892529268,0.06940116230101911,0.0015581571633117156,20996.0,0.1309773290150505
Assam,2019,385,4619,156,11943,6989,1773,12,25877,0.014878077056845847,0.17849828032615836,0.006028519534721954,0.46152954361015575,0.2700854040267419,0.06851644317347451,0.0004637322719016888,23746.0,0.08974143013560179
Assam,2020,90,4642,148,11408,5364,1657,18,23327,0.0038581900801646163,0.1989968705791572,0.0063445792429373685,0.4890470270501993,0.22994812877781112,0.07103356625369743,0.0007716380160329232,25877.0,-0.09854310777910887
Assam,2021,184,4499,198,12950,5739,1733,22,25325,0.007265547877591313,0.17765054294175717,0.007818361303060217,0.5113524185587365,0.22661401776900297,0.06843040473840079,0.0008687068114511352,23327.0,0.08565181977965448
BIHAR,2001,21,562,859,1558,518,888,83,4489,0.004678102027177545,0.12519492091779907,0.19135664958788148,0.34707061706393405,0.11539318333704611,0.19781688572065048,0.01848964134551125,,0.0
BIHAR,2002,6,621,927,1577,744,1040,38,4953,0.0012113870381586917,0.12537855844942458,0.18715929739551787,0.3183928931960428,0.15021199273167776,0.2099737532808399,0.007672117908338381,4489.0,0.10336377812430385
BIHAR,2003,11,688,909,1880,674,985,37,5184,0.0021219135802469135,0.13271604938271606,0.1753472222222222,0.3626543209876543,0.13001543209876543,0.1900077160493827,0.007137345679012345,4953.0,0.04663840096910963
BIHAR,2004,13,704,1029,2679,997,1390,35,6847,0.001898641740908427,0.10281875273842558,0.15028479626113628,0.39126624799182125,0.14561121659120782,0.20300861691251643,0.0051117277639842265,5184.0,0.32079475308641975
BIHAR,2005,13,451,1014,1574,929,1147,74,5202,0.002499038831218762,0.08669742406766628,0.19492502883506344,0.3025759323337178,0.1785851595540177,0.22049211841599384,0.014225297962322183,6847.0,-0.24025120490725865
BIHAR,2006,53,530,1188,1689,1084,1232,42,5818,0.009109659676864902,0.09109659676864902,0.20419388105878308,0.29030594706084567,0.18631832244757648,0.21175661739429358,0.007218975592987281,5202.0,0.1184159938485198
